address,age,area,bedroom,direction,elevator,floor,furnished,lat,link,livingroom,lon,title,totalFloor,totalPrice,unitPrice
东亚上北中心,2009,38,1, 北 , 有电梯,低楼层, 精装 ,40.087773,http://bj.lianjia.com/xiaoqu/1111027374040/,0,116.347998,精致小户型 免税房源 拎包入住 ,21,155,40790
福城上上城五期,2009,56,2, 南 , 无电梯,高楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,上上城五期 南向开间自改小两居 精装修 诚意出售 ,18,150,26786
美林湾,2009,60,1, 南 北 , 无电梯,高楼层, 其他 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,美林湾 精装南北通透大一居 随时看房 靠谱出售,6,190,31667
福城上上城六期,2013,69,2, 东南 , 无电梯,低楼层, 精装 ,39.9692,http://bj.lianjia.com/xiaoqu/2011048071528/,1,116.846504,福城六期，东南两居室，精装修，拎包入住,28,180,25870
美林湾,2009,62,1, 东北 , 无电梯,低楼层, 其他 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,满两年 免增值税 东北向正规一居,22,179,28627
福城上上城五期,2009,75,2, 南 , 无电梯,低楼层, 简装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,福城上上城五期 全南正规两居 简单装修,18,190,25334
福泽颐园,2007,42,1, 北 , 无电梯,高楼层, 简装 ,39.954586,http://bj.lianjia.com/xiaoqu/2011047640755/,0,116.841067,福泽颐园 北向开间 满五 中等装修 空闲 有钥匙,32,105,25000
东亚上北中心,2009,37,1, 北 , 有电梯,高楼层, 精装 ,40.087773,http://bj.lianjia.com/xiaoqu/1111027374040/,0,116.347998,户型方正 小区前后有公园 配套齐全 适合居住 购物方便,21,148,39979
北京像素南区,2012,48,1, 东北 , 有电梯,高楼层, 精装 ,39.931519,http://bj.lianjia.com/xiaoqu/1111045342092/,1,116.622063,北京像素南区 1室1厅 163万,23,163,33423
福城上上城三季,2010,60,1, 南 , 无电梯,高楼层, 毛坯 ,39.987002,http://bj.lianjia.com/xiaoqu/2011047640757/,0,116.782754,三季南向开间，总价低，业主诚售,23,156,25863
蓝星花园,2006,35,1, 西 , 有电梯,中楼层, 精装 ,40.094933,http://bj.lianjia.com/xiaoqu/1111027378136/,0,116.560389,蓝星花园开间 五层 满五年 交通便利 带电梯,11,180,50534
增产路21号院,1996,59,2, 西 , 无电梯,中楼层, 简装 ,39.94845,http://bj.lianjia.com/xiaoqu/1111027382322/,1,116.103604,增产路21号院 两居室 出行购物方便,6,192,32460
美林湾,2009,61,2, 南 北 , 无电梯,高楼层, 简装 ,39.980612,http://bj.lianjia.com/xiaoqu/2011047710270/,1,116.77441,美林湾南北通透一居可改三居 赠送30平米露台,6,195,31947
天洋城,2011,58,1, 东 , 无电梯,高楼层, 精装 ,39.970903,http://bj.lianjia.com/xiaoqu/2011047640650/,1,116.828287,天洋城 东向一居 明厨明卫 业主诚心出售,24,164,27844
福城上上城五期,2009,76,2, 南 , 无电梯,中楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,业主诚售  看房方便,28,197,25632
福城上上城五期,2009,82,2, 东 西 北 , 无电梯,低楼层, 精装 ,39.963617,http://bj.lianjia.com/xiaoqu/2011047640855/,1,116.85037,上上城五期  精装修 满两年 诚意出售,18,185,22561
福泽御园,2007,50,1, 北 , 无电梯,中楼层, 简装 ,39.955437,http://bj.lianjia.com/xiaoqu/2011047640756/,0,116.836261,福成四期 北向开间 户型方正 中高楼层 楼前无遮挡,20,128,25257
首开国风美唐综合楼,2014,55,1, 东 , 无电梯,低楼层, 简装 ,40.079241,http://bj.lianjia.com/xiaoqu/1111100821964/,0,116.36695,商住两用，民水民电，近地铁，不限购,17,179,32056
首开智慧社,2011,51,1, 东 , 有电梯,中楼层, 精装 ,40.078436,http://bj.lianjia.com/xiaoqu/1111027379397/,0,116.343992,首开智慧社经典开间 精装修 不限购,19,185,36275
忆江南,2008,70,2, 南 , 无电梯,低楼层, 其他 ,39.958434,http://bj.lianjia.com/xiaoqu/2011047710291/,1,116.846026,忆江南 全南两居室 采光好无遮挡 诚心出售,18,188,26858
北潞春家园,2000,66,1, 东 , 有电梯,高楼层, 其他 ,39.746639,http://bj.lianjia.com/xiaoqu/1111027375971/,1,116.134573,北潞春家园 1室1厅 170万,10,170,25626
