totalFloor,bathroom,furnished,unitPrice,area,address,direction,livingroom,totalPrice,floor,age,elevator,title
6,2, 精装 ,57250,80,龙泽苑西区, 南 北 ,1,460,低楼层,2000, 无电梯,龙泽苑西区两居室，商品房已经满五年，好户型
13,2, 精装 ,32266,123,天通西苑二区, 东 西 ,2,400,低楼层,2003, 有电梯,东西通透大两居  板楼 满五年 诚心出售 随时签约
13,2, 精装 ,33596,139,天通西苑三区, 南 北 ,2,470,高楼层,2003, 有电梯,板楼南北大两居 满五年精装修 中高楼层 送固定车位
7,2, 精装 ,49279,97,翠屏北里西区, 南 北 ,1,478,高楼层,2002, 无电梯,新装修两居，业主改善3居室，不临街不把边，明卫！
18,2, 精装 ,48237,99,新都丽苑, 西北 ,1,480,中楼层,2001, 有电梯,新都丽苑落地窗二居 有钥匙 可以改三居
6,2, 简装 ,80485,50,手帕口北街, 南 ,1,405,中楼层,1984, 无电梯,手帕口北街 南向两居 业主诚心出售
18,3, 精装 ,48683,101,定福家园2号院, 南 北 ,1,495,低楼层,2006, 有电梯,精装，南北通透，户型方正，地铁六号线褡裢坡！
7,2, 精装 ,50686,83,云趣园一区, 南 北 ,1,425,中楼层,2000, 无电梯,商品房两居室 两个卧室朝南 中间层 可以签约
15,2, 毛坯 ,46132,89,亦庄北岸, 西南 ,2,415,中楼层,2008, 有电梯,亦庄地铁站电梯两居室，满五年，免20%个税
32,3, 简装 ,33331,138,天通西苑二区, 西南 ,1,460,高楼层,2003, 有电梯,西南三居室，商品房税少，明厨明卫，高层视野棒。
12,2, 精装 ,58551,81,上东上层, 南 ,1,480,低楼层,2008, 有电梯,上东上层 满五年 精装修 中间楼层 业主诚心出售
32,2, 简装 ,43309,92,天通西苑二区, 南 ,1,400,低楼层,2003, 有电梯,朝南两居 户型方正 商品房满五年
7,2, 精装 ,52912,88,清水园二期, 南 ,1,468,低楼层,2004, 无电梯,清华附小学区  精装修 交通配套齐全 全南两居
17,2, 简装 ,37185,112,天通苑北二区, 西北 ,1,420,高楼层,2005, 有电梯,电梯大两居改三居 看房方便 有钥匙 紧邻地铁5号线
14,2, 精装 ,49902,91,育新嘉园, 南 北 ,1,458,高楼层,2000, 有电梯,育新嘉园 海淀产权 育鹰学区  业主靠谱出售
6,2, 简装 ,46630,89,龙锦苑二区, 南 北 ,1,415,低楼层,2005, 无电梯,小区中间，靠谱出售，紧邻学校和地铁8号线
6,2, 精装 ,58455,70,北京人家, 南 北 ,1,410,高楼层,2004, 无电梯,南北双通透+落地飘窗+集中供暖+带阁楼+带露台+可签约
6,2, 精装 ,71848,68,林萃路10号院, 南 北 ,1,490,高楼层,1995, 无电梯,林萃路10号院经典2居诚意出售  满五唯一 随时签约
